channelTitle,video_count,total_views,jenre
なんG社会部【ネットの反応】,3,185662,User-Generated Content (including clips)  
RKB毎日放送NEWS,1,185346,Media
投票率80パーセント 【政治】,2,184888,User-Generated Content (including clips)  
哲学系ゆーちゅーばーじゅんちゃん,2,183028,User-Generated Content (including clips)  
中井放送局　参政党応援チャンネルLIVE配信街頭演説『非公式』,4,182334,User-Generated Content (including clips)  
MBS NEWS,2,176789,Media
まっすぐ日本 〜時代の羅針盤〜,1,175306,User-Generated Content (including clips)  
伝統保守チャンネル-最期は笑って,4,171508,User-Generated Content (including clips)  
【毎日18時更新】政治ダイジェスト,1,169732,User-Generated Content (including clips)  
橋下 徹 / Toru Hashimoto,1,169363,Public Figure
時事通信映像センター,1,164478,Media
khb東日本放送,2,163790,Media
キーウィの政治ch,1,158532,User-Generated Content (including clips)  
前 衆議院議員 いさ進一 チャンネル,1,156153,Public Figure
なのだ政経,2,155787,User-Generated Content (including clips)  
チャンネルくらら,3,155390,User-Generated Content (including clips)  
TTBジャーナル,5,153508,User-Generated Content (including clips)  
やっすーのおふざけTV yassuu-tv,1,151794,User-Generated Content (including clips)  
福岡・佐賀 KBC NEWS,1,146799,Media
国民の政治チャンネル,1,145639,User-Generated Content (including clips)  
日本の熱い政治ニュース,2,144991,User-Generated Content (including clips)  
KAZUYA Channel,2,142898,User-Generated Content (including clips)  
参政党【非公式】,1,140508,User-Generated Content (including clips)  
堀江貴文　愛の暴言チャンネル[切り抜き],1,137924,User-Generated Content (including clips)  
USGちゃんねる INFP-T,1,137405,User-Generated Content (including clips)  
OKIOKI ch,1,136222,User-Generated Content (including clips)  
信じられない政治ch【切り抜き】,1,133367,User-Generated Content (including clips)  
ゆうじ,1,130224,User-Generated Content (including clips)  
筋肉弁護士桜井ヤスノリー法律の裏側ー,4,129907,User-Generated Content (including clips)  
深田萌絵TV,1,127882,Public Figure
インタビューズ・ジャパン,2,126914,User-Generated Content (including clips)  
Reboot ニッポン【日本再起動】,1,125374,User-Generated Content (including clips)  
参政党をひたすら広めるチャンネル,1,125240,User-Generated Content (including clips)  
にっぽん見守り党,1,125069,User-Generated Content (including clips)  
フィフィチャンネル,1,123725,Public Figure
炎上国会,2,123460,User-Generated Content (including clips)  
世界の事件簿ch,1,120874,User-Generated Content (including clips)  
政治革命,3,119904,User-Generated Content (including clips)  
西田亮介研究室夜店YouTube分舗,1,118107,Public Figure
山本太郎【れいわ新選組】切り抜き動画,1,113164,User-Generated Content (including clips)  
ABS秋田放送,1,112443,Media
お茶の間JAPAN【海外の反応】,1,111791,User-Generated Content (including clips)  
THE CORE,1,111225,User-Generated Content (including clips)  
ひろゆき家【ひろゆき、hiroyuki】切り抜き,3,110916,User-Generated Content (including clips)  
政治ビギナーニュース,1,110102,User-Generated Content (including clips)  
なんj内閣,3,108817,User-Generated Content (including clips)  
